EngineVersion, GameVersion, GameSessionID, PlaythroughID, SingleSessionID, Week, Day, Timestamp, Scenario, ModsUsed, ModsList, Chapter, MapName, MainCity, City, Total workforce, Available workforce, Sickliness absence, Injured absence, Other absence, Research speed multiplier, Number of communities, Community size points, Population growth, Natural growth indicator, Total trust, Economy difficulty, Weather difficulty, Frostland difficulty, Society difficulty, Core_Heatnotes supply, Core_Heatnotes requirement, Core_Heatnotes stock, Core_Heatnotes capacity, Core_Heatnotes total demand, Core_Heatnotes unmet demand, Core_Power supply, Core_Power requirement, Core_Power total demand, Core_Power unmet demand, Core_Food supply, Core_Food requirement, Core_Food stock, Core_Food capacity, Core_Food total demand, Core_Food unmet demand, Core_Materials supply, Core_Materials requirement, Core_Materials stock, Core_Materials capacity, Core_Materials total demand, Core_Materials unmet demand, Core_Goods supply, Core_Goods requirement, Core_Goods stock, Core_Goods capacity, Core_Goods total demand, Core_Goods unmet demand, Coal supply, Coal requirement, Coal stock, Coal capacity, Coal total demand, Coal unmet demand, Steam supply, Steam requirement, Steam total demand, Steam unmet demand, Oil supply, Oil requirement, Oil stock, Oil capacity, Oil total demand, Oil unmet demand, LogisticsUnits supply, LogisticsUnits requirement, LogisticsUnits total demand, LogisticsUnits unmet demand, Cores supply, Cores requirement, Cores stock, Cores capacity, Cores total demand, Cores unmet demand, Militia supply, Militia requirement, Militia total demand, Militia unmet demand, Core_Prefabs supply, Core_Prefabs requirement, Core_Prefabs stock, Core_Prefabs capacity, Core_Prefabs total demand, Core_Prefabs unmet demand, Nourishment supply, Nourishment need, Possession supply, Possession need, Shelter supply, Shelter need, Warmth supply, Warmth need, Maintenance supply, Maintenance need, Squalor current, Squalor target, Cold current, Cold target, Hunger current, Hunger target, Sickliness current, Sickliness target, Crime current, Crime target, Tension current, Tension target, CitySize current, CitySize target, Wealth current, Wealth target, NationSize current, NationSize target, DA_Adaptation_Cornerstone, DA_EqualityCornerstone, DA_ProgressCornerstone, DA_MeritCornerstone, DA_Reason_Cornerstone, DA_Duty_Cornerstone, Core_Relics supply, Core_Relics requirement, Core_Relics stock, Core_Relics capacity, Core_Relics total demand, Core_Relics unmet demand
"5.2.1-452176+++p10_fp2+hotfix_no_raw", "1.2.3", "E38F0B89495DC52AD1A820BBF331C7BA", "A29D8CA0499A971F8E978B8E215400E7", "32A3C23E41B4C850AB5F0CB2237F52BC", 462, 5, "2025-02-23 00:37:41", "DA_SandboxScenario", "false", "-", "-", "Fractured Gorge", "The City", "The City", "23445", "4869", "0", "577", "0", "2.1", "5", "28261", "16.0", "Slow growth.", "9000.476562", "Hard", "Hard", "Hard", "Hard", "48", "0", "6000", "0", "-", "-", "2853", "0", "2853", "0", "588", "0", "116832", "250000", "621", "33", "1580", "138", "350000", "350000", "773", "-807", "230", "32", "9833", "150000", "286", "56", "1345", "251", "200000", "250000", "-", "-", "320", "0", "-", "-", "128", "0", "0", "175000", "-", "-", "100", "108", "-", "-", "0", "0", "4", "0", "-", "-", "268", "0", "-", "-", "19", "0", "5000", "0", "-", "-", "621", "621", "254", "254", "610", "522", "2853", "2853", "635", "635", "41", "41", "0", "0", "0", "0", "0", "-22", "0", "-564", "7", "7", "28", "28", "0", "0", "31", "31", "0.75", "0.23", "0.23", "0.73", "0.09", "0.8", "-", "-", "-", "-", "-", "-"
"5.2.1-452176+++p10_fp2+hotfix_no_raw", "1.2.3", "E38F0B89495DC52AD1A820BBF331C7BA", "A29D8CA0499A971F8E978B8E215400E7", "32A3C23E41B4C850AB5F0CB2237F52BC", 462, 5, "2025-02-23 00:37:41", "DA_SandboxScenario", "false", "-", "-", "Fractured Gorge", "The City", "MATERIALS COLONY", "2251", "111", "0", "0", "0", "2.1", "1", "3000", "0.0", "Stagnantion.", "9000.476562", "Hard", "Hard", "Hard", "Hard", "4", "0", "0", "0", "-", "-", "550", "0", "550", "0", "162", "14", "30000", "30000", "80", "-82", "340", "37", "30000", "30000", "128", "-212", "32", "0", "4254", "30000", "26", "-6", "191", "0", "144624", "30000", "-", "-", "0", "0", "-", "-", "0", "0", "0", "30000", "-", "-", "20", "0", "-", "-", "0", "0", "0", "0", "-", "-", "0", "0", "-", "-", "0", "0", "0", "0", "-", "-", "66", "66", "26", "26", "86", "55", "550", "550", "91", "91", "4", "4", "0", "0", "0", "0", "0", "-40", "0", "-56", "0", "0", "3", "3", "0", "0", "31", "31", "0.75", "0.23", "0.23", "0.73", "0.09", "0.8", "-", "-", "-", "-", "-", "-"
"5.2.1-452176+++p10_fp2+hotfix_no_raw", "1.2.3", "E38F0B89495DC52AD1A820BBF331C7BA", "A29D8CA0499A971F8E978B8E215400E7", "32A3C23E41B4C850AB5F0CB2237F52BC", 462, 5, "2025-02-23 00:37:41", "DA_SandboxScenario", "false", "-", "-", "Fractured Gorge", "The City", "FUEL COLONY", "0", "0", "0", "0", "0", "2.1", "0", "0", "0.0", "Stagnantion.", "9000.476562", "Hard", "Hard", "Hard", "Hard", "0", "0", "0", "0", "-", "-", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "-", "-", "0", "0", "-", "-", "0", "0", "0", "0", "-", "-", "0", "0", "-", "-", "0", "0", "0", "0", "-", "-", "0", "0", "-", "-", "0", "0", "0", "0", "-", "-", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "31", "31", "0.75", "0.23", "0.23", "0.73", "0.09", "0.8", "-", "-", "-", "-", "-", "-"
