EngineVersion, GameVersion, GameSessionID, PlaythroughID, SingleSessionID, Week, Day, Timestamp, Scenario, Fps, Resolution, DynamicResolutionFraction, FrameTime, GameThreadTime, RenderThreadTime, CpuTime, RamUsed, GameSpeed, Paused, CameraZoom, CameraPitch, CameraYaw, VideoMemoryAvailableForReservation, VideoMemoryBudget, VideoCurrentReservation, VideoCurrentUsage, VideoMemoryLeft, CPUBrandName, GPUBrandName, CPURate, CPUMemoryRate, GPURate, GPUMemoryRate, WindowMode, DisplayBrand, VSync, FrameLimit, Upscaling, UpscalingQuality, FrameGeneration, Sharpness, Gamma, Textures, Terrain, Effects, Shadows, Fog, Postprocess, Meshes, CityDetails, Lighting
"5.2.1-452176+++p10_fp2+hotfix_no_raw", "1.2.3", "E38F0B89495DC52AD1A820BBF331C7BA", "A29D8CA0499A971F8E978B8E215400E7", "32A3C23E41B4C850AB5F0CB2237F52BC", 462, 4, "2025-02-23 00:37:30", "DA_SandboxScenario", "0.25", "X=1920.000 Y=1080.000", , "40.0", "345.399109", "29.273371", "33.936985%", "10718MB", "0", "0", "0.0", "-20.0", "20.0", "2742.0", "5228.0", "2742.0", "3994.6875", "1233.3125", "12th Gen Intel(R) Core(TM) i5-12450H", "Intel(R) UHD Graphics", "0.7", "0.7", "0.7", "0.7", "WindowedFullscreen", "MONITOR\BOE09A4\{4d36e96e-e325-11ce-bfc1-08002be10318}\0000", "on", "60", "DLSS", "Quality", "off", "50.0", "2.2", "High", "High", "High", "High", "High", "High", "High", "High", "High"
"5.2.1-452176+++p10_fp2+hotfix_no_raw", "1.2.3", "E38F0B89495DC52AD1A820BBF331C7BA", "A29D8CA0499A971F8E978B8E215400E7", "32A3C23E41B4C850AB5F0CB2237F52BC", 465, 1, "2025-02-23 00:39:32", "DA_SandboxScenario", "54.057461", "X=1920.000 Y=1080.000", , "19.957893", "12.306381", "10.441099", "34.151741%", "11997MB", "0", "0", "0.0", "-20.0", "20.0", "2742.0", "5228.0", "2742.0", "4273.835938", "954.164062", "12th Gen Intel(R) Core(TM) i5-12450H", "Intel(R) UHD Graphics", "0.7", "0.7", "0.7", "0.7", "WindowedFullscreen", "MONITOR\BOE09A4\{4d36e96e-e325-11ce-bfc1-08002be10318}\0000", "on", "60", "DLSS", "Quality", "off", "50.0", "2.2", "High", "High", "High", "High", "High", "High", "High", "High", "High"
